# facet_decomposition.tsv
# Maps each compound ENCODE output_type / DataType / FeatureType term to its ONGA
# faceted form: output_type OR feature_type (the atomic base) + strand +
# read_multiplicity + filter_status + normalization. This is the lossless
# round-trip bridge between the compound ENCODE terms and ONGA's faceted
# descriptor slots
# (strand -> StrandOrientation on TrackInterpretation; read_multiplicity ->
# ReadMultiplicity, filter_status -> FilterStatus, normalization -> Normalization
# on TrackProvenance).
#
# The base lives in `output_type` when the compound term is a DataType, and in
# `feature_type` (added operation #12) when it is a FeatureType term. Exactly one
# of those two columns is populated per row; the other is empty.
#
# Axes factored out: strand, read_multiplicity, filter_status, normalization,
# thresholding, derivation, reference_build_sex, haplotype_resolution. Remaining
# deferred qualifiers (control / bias-corrected / 'selected regions for' /
# redacted) stay baked into the output_type base.
#
# The `haplotype_resolution` column (added operation #17) factors the
# allele/haplotype phasing axis (allele_specific / haplotype_specific / phased)
# out of compound DataType/FeatureType terms (`haplotype-specific alignments`,
# `haplotype-specific contact matrix`, `allele-specific contact matrix`,
# `haplotype-specific nuclease cleavage frequency`,
# `haplotype-specific nuclease cleavage corrected frequency`,
# `phased variant calls`, `phased mapping`). It is a CONTENT facet (the second
# intrinsic-content facet after strand), homed on the `haplotype_resolution`
# slot of TrackInterpretation -> HaplotypeResolution. Absent means
# haplotype-collapsed / not phase-resolved. The parental-origin axis
# (maternal/paternal), reference ploidy (diploid), and the allelic-imbalance
# sense of "allele-specific" are deliberately NOT values of this axis.
#
# The `reference_build_sex` column (added operation #15) factors the
# reference-build sex axis (male / female) out of compound DataType terms
# (`male/female genome reference|index`). It is homed on the `build_sex` slot of
# the ReferenceGenome descriptor schema (the 5th schema). The male/female here
# qualifies the REFERENCE assembly used (which sex chromosomes it contains), NOT
# the biological sample's sex (a biospecimen property delegated to PATO). Absent
# means unspecified / sex-neutral combined assembly.
#
# The `derivation` column (added operation #14) factors the measured-vs-model
# axis (observed / predicted) out of compound profile / feature terms
# (derivation -> Derivation on TrackProvenance). `control` is NOT a derivation
# value (it denotes an experimental role or normalization reference), so
# control terms are not decomposed onto this axis. CHAINED RECONCILIATION
# (operation #14): nine existing rows that pointed at the now-removed compound
# bases `observed/predicted signal profile`, `predicted bias profile`, and
# `observed control profile` were re-pointed to the new stripped bases
# `signal profile` / `bias profile` / `control profile` with derivation set to
# observed/predicted; their other facet columns (strand, normalization) are
# preserved, making them genuine multi-axis compounds.
#
# The `normalization` column (added operation #11) factors the scaling axis
# (raw / depth_normalized / percentage_normalized) out of compound signal terms.
# SYNONYM MERGE: three ENCODE terms collapse many-to-one onto signal +
# depth_normalized — `normalized signal`, `read-depth normalized signal`, and
# `raw normalized signal` (raw signal after library-size normalization = depth-
# normalized). The map records all three rows so the ENCODE->ONGA direction stays
# well-defined; the ONGA->ENCODE direction is intentionally AMBIGUOUS for these
# (a deliberate non-1:1 collapse approved by the curator).
#
# base_exists=no flags atomic base terms that do NOT yet exist as standalone
# DataType/FeatureType terms; the matching removal step must add these when it
# removes the compound terms. (base_exists is recorded as of the operation that
# added each row; the strand/read_multiplicity rows reflect operation #7 state,
# the filter rows reflect operation #9 state, the normalization rows reflect
# operation #11 state, the FeatureType strand/filter rows reflect operation #12
# state.)
#
# Generated by scripts/build_facet_decomposition.py from src/file_content.yaml.
# DataType enum is NOT modified by this step.
encode_term	output_type	feature_type	strand	read_multiplicity	filter_status	normalization	thresholding	derivation	reference_build_sex	haplotype_resolution	base_exists
minus strand end position signal	end position signal		minus								no
minus strand normalized end position signal	normalized end position signal		minus								no
minus strand signal	signal		minus								yes
minus strand signal of all reads	signal		minus	all reads							yes
minus strand signal of unique reads	signal		minus	unique reads							yes
normalized observed signal profile (minus strand)	normalized observed signal profile		minus								yes
normalized observed signal profile (plus strand)	normalized observed signal profile		plus								yes
normalized predicted signal profile (minus strand)	normalized predicted signal profile		minus								yes
normalized predicted signal profile (plus strand)	normalized predicted signal profile		plus								yes
normalized signal of all reads	normalized signal			all reads							no
observed control profile (minus strand)	control profile		minus					observed			no
observed control profile (plus strand)	control profile		plus					observed			no
observed signal profile (minus strand)	signal profile		minus					observed			yes
observed signal profile (plus strand)	signal profile		plus					observed			yes
plus strand end position signal	end position signal		plus								no
plus strand normalized end position signal	normalized end position signal		plus								no
plus strand signal	signal		plus								yes
plus strand signal of all reads	signal		plus	all reads							yes
plus strand signal of unique reads	signal		plus	unique reads							yes
predicted signal profile (minus strand)	signal profile		minus					predicted			yes
predicted signal profile (plus strand)	signal profile		plus					predicted			yes
raw minus strand signal	raw signal		minus								yes
raw plus strand signal	raw signal		plus								yes
selected regions for predicted signal profile (minus strand)	selected regions for predicted signal profile		minus								yes
selected regions for predicted signal profile (plus strand)	selected regions for predicted signal profile		plus								yes
signal of all reads	signal			all reads							yes
signal of unique reads	signal			unique reads							yes
sparse gene count matrix of all reads	sparse gene count matrix			all reads							yes
sparse gene count matrix of unique reads	sparse gene count matrix			unique reads							yes
unfiltered sparse gene count matrix of all reads	unfiltered sparse gene count matrix			all reads							no
unfiltered sparse gene count matrix of unique reads	unfiltered sparse gene count matrix			unique reads							no
unfiltered sparse splice junction count matrix of unique reads	unfiltered sparse splice junction count matrix			unique reads							no
filtered modified peptide quantification	modified peptide quantification				filtered						no
filtered peaks	peaks				filtered						yes
filtered peptide quantification	peptide quantifications				filtered						yes
filtered reads	reads				filtered						yes
redacted unfiltered alignments	redacted alignments				unfiltered						yes
unfiltered alignments	alignments				unfiltered						yes
unfiltered modified peptide quantification	modified peptide quantification				unfiltered						no
unfiltered peptide quantification	peptide quantifications				unfiltered						yes
unfiltered sparse gene count matrix	sparse gene count matrix				unfiltered						yes
unfiltered sparse splice junction count matrix	sparse splice junction count matrix				unfiltered						no
raw signal	signal					raw					yes
normalized signal	signal					depth_normalized					yes
read-depth normalized signal	signal					depth_normalized					yes
raw normalized signal	signal					depth_normalized					yes
percentage normalized signal	signal					percentage_normalized					yes
normalized end position signal	end position signal					depth_normalized					yes
normalized observed signal profile	signal profile					depth_normalized		observed			yes
normalized predicted signal profile	signal profile					depth_normalized		predicted			yes
normalized predicted bias profile	bias profile					depth_normalized		predicted			yes
normalized bias-corrected predicted signal profile	bias-corrected predicted signal profile					depth_normalized					yes
depth normalized signals matrix	signals matrix					depth_normalized					no
plus strand methylation state at CpG		methylation state at CpG	plus								yes
minus strand methylation state at CpG		methylation state at CpG	minus								yes
plus strand inosine methylation state		inosine methylation state	plus								no
minus strand inosine methylation state		inosine methylation state	minus								no
plus strand m5C methylation state		m5C methylation state	plus								no
minus strand m5C methylation state		m5C methylation state	minus								no
plus strand m6A methylation state		m6A methylation state	plus								no
minus strand m6A methylation state		m6A methylation state	minus								no
plus strand Nm methylation state		Nm methylation state	plus								no
minus strand Nm methylation state		Nm methylation state	minus								no
plus strand pseudouridine methylation state		pseudouridine methylation state	plus								no
